Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C7",0402,3,100n,C1525
"C10, C13",0805,2,4.7u,C1779
"C11, C16, C5",0603,3,10u,C96446
"C14, C15",0402,2,100p,C1546
"C17, C18, C19, C2, C6, C8, C9",0603,7,100n,C14663
"C3, C4",0805,2,2.2u,C377773
"D1, D2, D3, D4",0805,4,LED,C84256
D5,SOT-23,1,PESD15VS2UT,C2831524
D6,D_SOD-123,1,MBR0520,C5204745
F1,Fuseholder_Littelfuse_Nano2_154x,1,2A,C108518
JP1,SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm,1,RE_MODE,
L1,L_SunItech_SLO0530H,1,10u,   C325966
"Q1, Q2, Q4",SOT-23,3,SS8050,C2150
"Q3, Q6",SOT-23,2,SI2302,C382300
Q5,TSOT-23,1,SI2301CDS,C10487
"R1, R2, R3, R4, R9",0402,5,2k,C4109
"R10, R12, R15, R17, R24, R26, R7, R8",0402,8,100k,C25741
"R11, R13, R14, R16, R18, R19, R20, R5, R6",0402,9,10k,C25744
"R21, R27",0402,2,12k,C25752
"R22, R28, R29",0402,3,1.2k,C25862
R23,0402,1,15k,C25756
R25,0805,1,560,C28636
R30,0603,1,2M,C22976
R31,0603,1,680k,C25822
U1,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,C6568
U2,Texas_VQFN-HR-12_2x2.5mm_P0.5mm,1,TPS2121,
U3,ESP32-WROOM-32,1,ESP32-WROOM-32,C701342
U4,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TPS7A2550DRVR,C2876265
U5,TO-263-3_TabPin2,1,LM1085-3.3,C444380
U6,SOT-23-5,1,LMR62014XMF,C468235
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN334,C2871143
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,ST485EBDR,C81186
U9,TE_MS5837-xxBA,1,MS5837-30BA,C2887941
