Designator,Mid X,Mid Y,Rotation,Layer
C1,66.675,-151.099,0.0,top
C10,45.4,-120.015,90.0,top
C11,80.80625,-137.795,90.0,top
C12,48.26,-125.448,270.0,top
C13,83.07,-127.555,90.0,top
C14,44.954,-136.798228,90.0,top
C15,43.684,-136.798228,90.0,top
C16,40.509,-138.703228,90.0,top
C17,72.136,-141.478,0.0,top
C18,49.53,-149.829,90.0,top
C19,85.471,-117.475,90.0,top
C2,40.509,-129.813228,270.0,top
C3,87.79125,-139.7,270.0,top
C4,45.72,-125.73,0.0,top
C5,38.604,-128.543228,90.0,top
C6,36.699,-128.543228,270.0,top
C7,48.26,-120.65,90.0,top
C8,82.71125,-137.795,90.0,top
C9,79.26,-128.505,90.0,top
D1,75.1055,-137.16,180.0,top
D2,75.1055,-132.08,180.0,top
D3,75.1055,-134.62,180.0,top
D4,75.1355,-129.54,180.0,top
D5,91.755,-145.0825,90.0,top
D6,38.604,-138.068228,90.0,top
F1,94.615,-140.335,180.0,top
J1,61.595,-154.401,270.0,top
J2,105.536,-143.51,0.0,top
J3,44.45,-154.401,90.0,top
J4,77.47,-154.305,90.0,top
L1,36.576,-132.988228,270.0,top
Q1,54.9125,-143.479,180.0,top
Q2,55.245,-149.829,180.0,top
Q3,101.6,-144.78,180.0,top
Q4,45.72,-128.778,270.0,top
Q5,41.656,-126.492,0.0,top
Q6,78.486,-148.336,180.0,top
R1,72.233,-137.16,0.0,top
R10,89.025,-144.145,0.0,top
R11,101.6,-142.24,0.0,top
R12,99.06,-144.78,270.0,top
R13,66.675,-148.559,180.0,top
R14,47.625,-122.555,0.0,top
R15,81.165,-129.14,180.0,top
R16,81.165,-127.87,180.0,top
R17,42.414,-130.448228,90.0,top
R18,82.71125,-140.335,0.0,top
R19,69.85,-126.365,0.0,top
R2,72.233,-132.08,0.0,top
R20,69.85,-121.92,0.0,top
R21,44.954,-131.718228,90.0,top
R22,43.684,-131.718228,270.0,top
R23,42.414,-136.798228,270.0,top
R24,42.414,-138.703228,270.0,top
R25,72.136,-151.003,180.0,top
R26,77.468,-151.892,0.0,top
R27,42.0,-123.0,270.0,top
R28,48.006,-130.302,270.0,top
R29,78.486,-145.542,270.0,top
R3,72.233,-134.62,0.0,top
R30,75.692,-148.336,90.0,top
R31,76.391,-145.796,0.0,top
R4,72.263,-129.54,0.0,top
R5,55.37,-147.32,180.0,top
R6,52.705,-147.289,270.0,top
R7,86.995,-144.145,0.0,top
R8,86.995,-145.415,0.0,top
R9,66.675,-149.829,0.0,top
U1,61.445,-148.559,180.0,top
U2,81.8,-131.68,0.0,top
U3,58.845,-127.91,0.0,top
U4,85.38125,-139.76,0.0,top
U5,94.385,-128.905,0.0,top
U6,41.249,-133.713228,270.0,top
U7,72.136,-145.923,180.0,top
U8,45.72,-148.559,180.0,top
U9,91.44,-117.475,0.0,top
